Date/Time, Black Hole Mass, Radius, Gravitational Pull
2022-Nov-18 @ Time 21:49:02,505,0.994888586589419,6.6743E-11
2022-Nov-18 @ Time 21:49:05,555,1.09339247311845,6.6743E-11
2022-Nov-18 @ Time 21:49:05,560,1.10324285575916,6.6743E-11
2022-Nov-18 @ Time 21:49:05,610,1.20174668216623,6.6743E-11
2022-Nov-18 @ Time 21:49:08,660,1.30025050857329,6.6743E-11
2022-Nov-18 @ Time 21:49:10,665,1.310100891214,6.6743E-11
2022-Nov-18 @ Time 21:52:13,670,1.31995127385471,6.6743E-11
2022-Nov-18 @ Time 21:52:36,720,1.41845510026177,6.6743E-11
2022-Nov-18 @ Time 21:52:52,770,1.51695892666884,6.6743E-11
2022-Nov-18 @ Time 21:53:04,820,1.61546275307591,6.6743E-11
