Name, Momentum, Velocity, Mass, Dist->BH, Active, Black Hole Mass, Date/Time
Orb,10.29563,0,5,0,True,500,2023-Jul-21 @ Time 14:04:54
Orb (3),16.97056,0,5,0,True,500,2023-Jul-21 @ Time 14:04:54
GiantCelestialBody,141.4214,0,50,0,True,500,2023-Jul-21 @ Time 14:04:54
Orb (1),12.80625,0,5,0,True,500,2023-Jul-21 @ Time 14:04:54
Orb (2),15,0,5,0,True,500,2023-Jul-21 @ Time 14:04:54
GiantCelestialBody (1),106.066,0,50,0,True,500,2023-Jul-21 @ Time 14:04:54
GiantCelestialBody (4),131.244,0,50,0,True,500,2023-Jul-21 @ Time 14:04:54
GiantCelestialBody (3),297.3214,0,50,0,True,500,2023-Jul-21 @ Time 14:04:54
GiantCelestialBody (2),335.4102,0,50,0,True,500,2023-Jul-21 @ Time 14:04:54
GiantCelestialBody(Clone)9,200.6969,0,50,0,True,500,2023-Jul-21 @ Time 14:05:08
GiantCelestialBody(Clone)10,166.0233,0,50,0,True,500,2023-Jul-21 @ Time 14:05:08
GiantCelestialBody(Clone)11,222.9949,0,50,0,True,500,2023-Jul-21 @ Time 14:05:08
GiantCelestialBody(Clone)12,148.0229,0,50,0,True,500,2023-Jul-21 @ Time 14:05:08
GiantCelestialBody(Clone)13,88.42592,0,50,0,True,500,2023-Jul-21 @ Time 14:05:09
GiantCelestialBody(Clone)14,172.127,0,50,0,True,500,2023-Jul-21 @ Time 14:05:09
GiantCelestialBody(Clone)15,88.24353,0,50,0,True,500,2023-Jul-21 @ Time 14:05:09
Orb(Clone)16,24.53685,0,5,0,True,500,2023-Jul-21 @ Time 14:05:10
Orb(Clone)17,21.55235,0,5,0,True,500,2023-Jul-21 @ Time 14:05:10
Orb(Clone)18,19.12353,0,5,0,True,500,2023-Jul-21 @ Time 14:05:11
Orb(Clone)19,3.937243,0,5,0,True,500,2023-Jul-21 @ Time 14:05:11
